Name	Version	Architecturet	Description
libtwolame0:amd64	0.4.0-2build2	amd64	MPEG Audio Layer 2 encoding library
libubsan1:amd64	12.1.0-2ubuntu1~22.04	amd64	UBSan -- undefined behaviour sanitizer (runtime)
libucx0:amd64	1.12.1~rc2-1	amd64	Unified Communication X libraries
libudev1:amd64	249.11-0ubuntu3.6	amd64	libudev shared library
libudfread0:amd64	1.1.2-1	amd64	UDF reader library
libudunits2-0	2.2.28-3	amd64	Library for handling of units of physical quantities
libudunits2-data	2.2.28-3	all	Data for handling of units of physical quantities
libudunits2-dev	2.2.28-3	amd64	Development files for the libunits physical units package
libumfpack5:amd64	1:5.10.1+dfsg-4build1	amd64	sparse LU factorization library
libunicode-linebreak-perl	0.0.20190101-1build3	amd64	UAX #14 Unicode Line Breaking Algorithm
libunistring2:amd64	1.0-1	amd64	Unicode string library for C
liburi-perl	5.10-1	all	module to manipulate and access URI strings
liburiparser-dev	0.9.6+dfsg-1	amd64	development files for uriparser
liburiparser1:amd64	0.9.6+dfsg-1	amd64	URI parsing library compliant with RFC 3986
libuuid1:amd64	2.37.2-4ubuntu3	amd64	Universally Unique ID library
libuv1:amd64	1.43.0-1	amd64	asynchronous event notification library - runtime library
libuv1-dev:amd64	1.43.0-1	amd64	asynchronous event notification library - development files
libva-drm2:amd64	2.14.0-1	amd64	Video Acceleration (VA) API for Linux -- DRM runtime
libva-x11-2:amd64	2.14.0-1	amd64	Video Acceleration (VA) API for Linux -- X11 runtime
libva2:amd64	2.14.0-1	amd64	Video Acceleration (VA) API for Linux -- runtime
libvariable-magic-perl	0.62-1build5	amd64	module to associate user-defined magic to variables from Perl
libvdpau1:amd64	1.4-3build2	amd64	Video Decode and Presentation API for Unix (libraries)
libvidstab1.1:amd64	1.1.0-2	amd64	video stabilization library (shared library)
libvorbis0a:amd64	1.3.7-1build2	amd64	decoder library for Vorbis General Audio Compression Codec
libvorbisenc2:amd64	1.3.7-1build2	amd64	encoder library for Vorbis General Audio Compression Codec
libvorbisfile3:amd64	1.3.7-1build2	amd64	high-level API for Vorbis General Audio Compression Codec
libvpx7:amd64	1.11.0-2ubuntu2	amd64	VP8 and VP9 video codec (shared library)
libvulkan1:amd64	1.3.204.1-2	amd64	Vulkan loader library
libwayland-client0:amd64	1.20.0-1ubuntu0.1	amd64	wayland compositor infrastructure - client library
libwayland-server0:amd64	1.20.0-1ubuntu0.1	amd64	wayland compositor infrastructure - server library
libwebp-dev:amd64	1.2.2-2	amd64	Lossy compression of digital photographic images
libwebp7:amd64	1.2.2-2	amd64	Lossy compression of digital photographic images
libwebpdemux2:amd64	1.2.2-2	amd64	Lossy compression of digital photographic images.
libwebpmux3:amd64	1.2.2-2	amd64	Lossy compression of digital photographic images
libwmf-0.2-7:amd64	0.2.12-5ubuntu1	amd64	Windows metafile conversion library
libwmf-dev	0.2.12-5ubuntu1	amd64	Windows metafile conversion development
libwmflite-0.2-7:amd64	0.2.12-5ubuntu1	amd64	Windows metafile conversion lite library
libwww-perl	6.61-1	all	simple and consistent interface to the world-wide web
libwww-robotrules-perl	6.02-1	all	database of robots.txt-derived permissions
libx11-6:amd64	2:1.7.5-1	amd64	X11 client-side library
libx11-data	2:1.7.5-1	all	X11 client-side library
libx11-dev:amd64	2:1.7.5-1	amd64	X11 client-side library (development headers)
libx11-xcb1:amd64	2:1.7.5-1	amd64	Xlib/XCB interface library
libx264-163:amd64	2:0.163.3060+git5db6aa6-2build1	amd64	x264 video coding library
libx265-199:amd64	3.5-2	amd64	H.265/HEVC video stream encoder (shared library)
libx265-dev:amd64	3.5-2	amd64	H.265/HEVC video stream encoder (development files)
libxau-dev:amd64	1:1.0.9-1build5	amd64	X11 authorisation library (development headers)
libxau6:amd64	1:1.0.9-1build5	amd64	X11 authorisation library
libxaw7:amd64	2:1.0.14-1	amd64	X11 Athena Widget library
libxcb-dri2-0:amd64	1.14-3ubuntu3	amd64	X C Binding, dri2 extension
libxcb-dri3-0:amd64	1.14-3ubuntu3	amd64	X C Binding, dri3 extension
libxcb-glx0:amd64	1.14-3ubuntu3	amd64	X C Binding, glx extension
libxcb-present0:amd64	1.14-3ubuntu3	amd64	X C Binding, present extension
libxcb-render0:amd64	1.14-3ubuntu3	amd64	X C Binding, render extension
libxcb-render0-dev:amd64	1.14-3ubuntu3	amd64	X C Binding, render extension, development files
libxcb-shm0:amd64	1.14-3ubuntu3	amd64	X C Binding, shm extension
libxcb-shm0-dev:amd64	1.14-3ubuntu3	amd64	X C Binding, shm extension, development files
libxcb-sync1:amd64	1.14-3ubuntu3	amd64	X C Binding, sync extension
libxcb-xfixes0:amd64	1.14-3ubuntu3	amd64	X C Binding, xfixes extension
libxcb1:amd64	1.14-3ubuntu3	amd64	X C Binding
libxcb1-dev:amd64	1.14-3ubuntu3	amd64	X C Binding, development files
